,date,mosquito_ratio
0,2016-05-01,240.064807619048
1,2016-05-25,443.46781309523783
2,2016-06-06,601.1447695238102
3,2016-06-09,572.0222226190481
4,2016-06-10,594.4859071428574
5,2016-06-26,748.7191671428563
6,2016-06-30,698.281477142857
7,2016-07-10,531.1274033333339
8,2016-07-12,521.6466300000009
9,2016-07-14,474.5870471428573
10,2016-07-15,488.8000838095242
11,2016-07-18,521.2469661904768
12,2016-07-19,490.2893604761908
13,2016-07-20,449.29696999999993
14,2016-07-21,448.63271095238144
15,2016-07-22,441.9458471428571
16,2016-07-25,451.0388438095246
17,2016-07-26,448.68035380952443
18,2016-07-28,454.57265761904773
19,2016-07-29,527.7487809523811
20,2016-08-03,423.6342333333325
21,2016-08-06,344.2636061904763
22,2016-08-09,314.0820733333334
23,2016-08-17,329.6579378571435
24,2016-08-20,333.6800926190482
25,2016-08-21,305.21442190476176
26,2016-08-31,344.83642476190454
27,2016-09-06,573.5321285714286
28,2016-09-10,692.0048852380962
29,2016-09-14,728.0141666666667
30,2016-09-15,673.5640566666682
31,2016-09-22,479.7889928138521
32,2016-09-25,492.08474571428417
33,2016-10-02,496.53042158730204
34,2016-10-05,492.7958616666666
35,2016-10-08,230.27086666666688
36,2016-10-11,246.51726666666715
37,2016-10-18,217.53302761904774
38,2016-10-20,222.3959347619048
39,2016-10-30,70.00460087301583
40,2016-11-05,247.33266047619077
41,2016-11-06,186.82240714285746
42,2016-11-14,162.1806857142858
43,2016-11-16,14.49843857142857
44,2016-11-20,58.89404714285725
45,2016-11-21,19.011003333333335
46,2016-11-29,17.015498095238076
47,2016-12-04,5.863451904761894
48,2016-12-12,2.8332361904761916
49,2016-12-13,4.552264285714286
50,2016-12-15,1.9860880952380957
51,2016-12-23,3.747730476190482
52,2017-01-05,1.3449571428571432
53,2017-01-07,1.801751904761905
54,2017-01-08,3.959051666666653
55,2017-01-10,2.6093785714285724
56,2017-01-12,2.58331857142857
57,2017-01-18,1.2620499999999972
58,2017-01-22,0.6903833333333341
59,2017-01-25,0.6001433333333336
60,2017-01-29,1.462026666666667
61,2017-02-01,1.5948288095238121
62,2017-02-03,1.1843971428571423
63,2017-02-04,1.60289642857143
64,2017-02-10,2.031897619047622
65,2017-02-22,1.965104047619048
66,2017-02-25,1.8300811904761838
67,2017-03-03,5.1377290476190405
68,2017-03-11,7.995730952380959
69,2017-03-17,12.005551428571458
70,2017-03-24,9.458244285714287
71,2017-03-25,10.09584071428571
72,2017-03-31,23.159149285714278
73,2017-04-01,9.045558492063476
74,2017-04-03,28.270970952380985
75,2017-04-05,63.595020000000005
76,2017-04-09,55.666666666666764
77,2017-04-16,52.044365555555615
78,2017-04-18,43.31652095238096
79,2017-04-22,52.50537428571443
80,2017-04-29,68.9466202380954
81,2017-04-30,98.62479666666651
82,2017-05-07,158.36358761904745
83,2017-05-11,157.95302690476186
84,2017-05-22,449.5364907142853
85,2017-05-24,466.15692047619046
86,2017-06-03,476.8842866666665
87,2017-06-11,448.87414285714266
88,2017-06-14,532.4837442857136
89,2017-06-16,586.9357995238099
90,2017-06-19,621.1781861904769
91,2017-06-24,857.9599533333333
92,2017-06-25,897.1562309523813
93,2017-06-26,939.8903866666666
94,2017-06-28,985.5941483333331
95,2017-06-29,956.1957466666662
96,2017-07-01,759.9203761904764
97,2017-07-08,822.9468464285732
98,2017-07-11,826.6248830952392
99,2017-07-12,832.7578995238097
100,2017-07-15,891.2699902380953
101,2017-07-18,882.1801314285722
102,2017-07-24,986.5800933333333
103,2017-07-29,990.471638333334
104,2017-08-12,323.27599476190494
105,2017-08-16,450.3676576190471
106,2017-08-20,458.9903819047613
107,2017-08-27,364.8453752380947
108,2017-08-30,410.6698714285712
109,2017-08-31,438.62539904761877
110,2017-09-03,511.3219847619053
111,2017-09-04,540.3361019047618
112,2017-09-12,505.6710385714305
113,2017-09-14,507.73740809523827
114,2017-09-16,477.0265180952375
115,2017-09-21,530.028448333333
116,2017-09-22,463.0777938095238
117,2017-09-24,460.14152333333334
118,2017-09-25,430.70835043290043
119,2017-09-28,518.1562178571425
120,2017-10-02,433.3139138095236
121,2017-10-05,271.81235333333336
122,2017-10-08,498.5589838095236
123,2017-10-09,581.6678499999995
124,2017-10-10,531.6250877777775
125,2017-10-13,41.081504999999964
126,2017-10-14,85.19373761904762
127,2017-10-18,251.05155999999917
128,2017-10-20,103.81839928571424
129,2017-10-24,92.25004000000007
130,2017-11-04,14.932176428571426
131,2017-11-10,7.114296666666666
132,2017-11-11,6.16477333333333
133,2017-11-16,5.556906666666666
134,2017-11-20,5.493399999999999
135,2017-12-11,5.485200000000001
136,2017-12-12,5.486700000000001
137,2017-12-13,5.486700000000001
138,2017-12-18,5.481866666666667
139,2017-12-20,5.57058
140,2017-12-21,5.508
141,2017-12-28,5.6371166666666666
142,2017-12-30,5.294446666666667
143,2017-12-31,5.251786666666668
144,2018-01-01,5.687964285714283
145,2018-01-12,5.5
146,2018-01-15,5.454383333333334
147,2018-01-17,5.474283333333332
148,2018-01-20,5.5
149,2018-01-25,5.5
150,2018-01-28,5.5
151,2018-02-10,5.5
152,2018-02-14,5.4846
153,2018-02-15,5.490399999999999
154,2018-02-17,5.5
155,2018-02-19,5.5
156,2018-02-25,5.5
